22/9/2023 20:44:57 /receb/type: 1/MessageSize: 9/TotalNumberOfPackets: 210/PacketID: 0/PayloadCRC: 
22/9/2023 20:44:57 /envio/type: 2/MessageSize: 10/TotalNumberOfPackets: 0/PacketID: 0/PayloadCRC: 
22/9/2023 20:44:58 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 1/PayloadCRC: 
22/9/2023 20:44:58 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 1/PayloadCRC: 
22/9/2023 20:44:59 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 2/PayloadCRC: 
22/9/2023 20:44:59 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 2/PayloadCRC: 
22/9/2023 20:45:0 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 3/PayloadCRC: 
22/9/2023 20:45:0 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 3/PayloadCRC: 
22/9/2023 20:45:1 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 4/PayloadCRC: 
22/9/2023 20:45:1 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 4/PayloadCRC: 
22/9/2023 20:45:2 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 5/PayloadCRC: 
22/9/2023 20:45:2 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 5/PayloadCRC: 
22/9/2023 20:45:3 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 6/PayloadCRC: 
22/9/2023 20:45:3 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 6/PayloadCRC: 
22/9/2023 20:45:4 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 7/PayloadCRC: 
22/9/2023 20:45:4 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 7/PayloadCRC: 
22/9/2023 20:45:5 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 8/PayloadCRC: 
22/9/2023 20:45:5 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 8/PayloadCRC: 
22/9/2023 20:45:6 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 9/PayloadCRC: 
22/9/2023 20:45:6 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 9/PayloadCRC: 
22/9/2023 20:45:7 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 10/PayloadCRC: 
22/9/2023 20:45:7 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 10/PayloadCRC: 
22/9/2023 20:45:8 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 11/PayloadCRC: 
22/9/2023 20:45:8 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 11/PayloadCRC: 
22/9/2023 20:45:9 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 12/PayloadCRC: 
22/9/2023 20:45:9 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 12/PayloadCRC: 
22/9/2023 20:45:10 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 13/PayloadCRC: 
22/9/2023 20:45:10 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 13/PayloadCRC: 
22/9/2023 20:45:11 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 14/PayloadCRC: 
22/9/2023 20:45:11 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 14/PayloadCRC: 
22/9/2023 20:45:12 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
22/9/2023 20:45:12 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 15/PayloadCRC: 
22/9/2023 20:45:13 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 16/PayloadCRC: 
22/9/2023 20:45:13 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 16/PayloadCRC: 
22/9/2023 20:45:14 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 17/PayloadCRC: 
22/9/2023 20:45:14 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 17/PayloadCRC: 
22/9/2023 20:45:15 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 18/PayloadCRC: 
22/9/2023 20:45:15 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 18/PayloadCRC: 
22/9/2023 20:45:16 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 19/PayloadCRC: 
22/9/2023 20:45:16 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 19/PayloadCRC: 
22/9/2023 20:45:17 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 20/PayloadCRC: 
22/9/2023 20:45:17 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 20/PayloadCRC: 
22/9/2023 20:45:18 /receb/type: 3/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 21/PayloadCRC: 
22/9/2023 20:45:18 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 21/PayloadCRC: 
22/9/2023 20:45:20 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:21 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:22 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:23 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:24 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:25 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:26 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:28 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:29 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:30 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:31 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:32 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:33 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:34 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:35 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:36 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:37 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:38 /envio/type: 4/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
22/9/2023 20:45:39 /envio/type: 5/MessageSize: 10/TotalNumberOfPackets: 210/PacketID: 22/PayloadCRC: 
